Freq.	V(vinter)/(V(vinn)-V(vinp))	V(vout)/(V(vinp)-V(vinn))	V(vout)/V(vinter)
4.46683592150961e+005	(2.25672356364191e+001dB,-1.05662268488328e+001°)	(5.01008039341117e+001dB,-1.28307880978237e+001°)	(2.75335682976926e+001dB,1.77735438751009e+002°)
5.01187233627270e+005	(2.25141119147356e+001dB,-1.17949951472799e+001°)	(5.00459186925624e+001dB,-1.43355303881404e+001°)	(2.75318067778268e+001dB,1.77459464759140e+002°)
5.62341325190347e+005	(2.24482040041348e+001dB,-1.31501883998307e+001°)	(4.99777941776667e+001dB,-1.60002297955369e+001°)	(2.75295901735320e+001dB,1.77149958604294e+002°)
6.30957344480191e+005	(2.23667213573859e+001dB,-1.46385795574799e+001°)	(4.98935225997125e+001dB,-1.78356925404781e+001°)	(2.75268012423266e+001dB,1.76802887017002e+002°)
7.07945784384135e+005	(2.22664117980806e+001dB,-1.62649140406659e+001°)	(4.97897045302856e+001dB,-1.98511655680389e+001°)	(2.75232927322050e+001dB,1.76413748472627e+002°)
7.94328234724278e+005	(2.21435584488905e+001dB,-1.80309386804658e+001°)	(4.96624382540845e+001dB,-2.20534128960907e+001°)	(2.75188798051940e+001dB,1.75977525784375e+002°)
8.91250938133742e+005	(2.19940162453460e+001dB,-1.99342642293729e+001°)	(4.95073468740493e+001dB,-2.44456274058772e+001°)	(2.75133306287033e+001dB,1.75488636823496e+002°)
9.99999999999995e+005	(2.18133036927149e+001dB,-2.19671252599779e+001°)	(4.93196583957752e+001dB,-2.70262405721041e+001°)	(2.75063547030603e+001dB,1.74940884687874e+002°)
1.12201845430196e+006	(2.15967640460159e+001dB,-2.41151576650198e+001°)	(4.90943524860118e+001dB,-2.97877482853511e+001°)	(2.74975884399958e+001dB,1.74327409379669e+002°)
1.25892541179416e+006	(2.13398038686416e+001dB,-2.63563746689813e+001°)	(4.88263813444417e+001dB,-3.27157306094205e+001°)	(2.74865774758002e+001dB,1.73640644059561e+002°)
1.41253754462275e+006	(2.10382048324126e+001dB,-2.86605681243538e+001°)	(4.85109599177117e+001dB,-3.57882877430117e+001°)	(2.74727550852991e+001dB,1.72872280381342e+002°)
1.58489319246111e+006	(2.06884875478977e+001dB,-3.09893675314607e+001°)	(4.81439036158469e+001dB,-3.89761182504498e+001°)	(2.74554160679492e+001dB,1.72013249281011e+002°)
1.77827941003891e+006	(2.02882876980453e+001dB,-3.32971300538453e+001°)	(4.77219732434653e+001dB,-4.22434040384890e+001°)	(2.74336855454199e+001dB,1.71053726015356e+002°)
1.99526231496887e+006	(1.98366913651139e+001dB,-3.55327041561905e+001°)	(4.72431735563185e+001dB,-4.55495327760198e+001°)	(2.74064821912046e+001dB,1.69983171380171e+002°)
2.23872113856833e+006	(1.93344750458213e+001dB,-3.76419326183604e+001°)	(4.67069508486406e+001dB,-4.88515079252272e+001°)	(2.73724758028193e+001dB,1.68790424693133e+002°)
2.51188643150957e+006	(1.87842100530464e+001dB,-3.95705918992733e+001°)	(4.61142496559695e+001dB,-5.21067234885123e+001°)	(2.73300396029231e+001dB,1.67463868410761e+002°)
2.81838293126444e+006	(1.81902179516861e+001dB,-4.12673703875583e+001°)	(4.54674166712651e+001dB,-5.52756820731023e+001°)	(2.72771987195790e+001dB,1.65991688314456e+002°)
3.16227766016836e+006	(1.75583943515627e+001dB,-4.26865069120680e+001°)	(4.47699719750373e+001dB,-5.83242503377111e+001°)	(2.72115776234745e+001dB,1.64362256574357e+002°)
3.54813389233573e+006	(1.68959414551936e+001dB,-4.37898355333234e+001°)	(4.40262928386291e+001dB,-6.12251699030751e+001°)	(2.71303513834355e+001dB,1.62564665630248e+002°)
3.98107170553495e+006	(1.62110577361558e+001dB,-4.45481595012887e+001°)	(4.32412659446173e+001dB,-6.39587230489307e+001°)	(2.70302082084614e+001dB,1.60589436452358e+002°)
4.46683592150961e+006	(1.55126252569355e+001dB,-4.49420372681886e+001°)	(4.24199590231266e+001dB,-6.65126253390570e+001°)	(2.69073337661911e+001dB,1.58429411929132e+002°)
5.01187233627269e+006	(1.48099168630172e+001dB,-4.49621540377667e+001°)	(4.15673475702231e+001dB,-6.88813329774327e+001°)	(2.67574307072059e+001dB,1.56080821060334e+002°)
5.62341325190346e+006	(1.41123251469542e+001dB,-4.46094553824749e+001°)	(4.06881136771754e+001dB,-7.10649954359268e+001°)	(2.65757885302212e+001dB,1.53544459946548e+002°)
6.30957344480190e+006	(1.34290998893857e+001dB,-4.38951487296399e+001°)	(3.97865179655509e+001dB,-7.30682670521109e+001°)	(2.63574180761652e+001dB,1.50826881677529e+002°)
7.07945784384134e+006	(1.27690754702188e+001dB,-4.28405674837491e+001°)	(3.88663350267246e+001dB,-7.48991401904153e+001°)	(2.60972595565058e+001dB,1.47941427293334e+002°)
7.94328234724277e+006	(1.21403759994426e+001dB,-4.14767838747192e+001°)	(3.79308378916084e+001dB,-7.65679027631294e+001°)	(2.57904618921658e+001dB,1.44908881111590e+002°)
8.91250938133740e+006	(1.15501017009382e+001dB,-3.98437910177287e+001°)	(3.69828164376675e+001dB,-7.80862701490141e+001°)	(2.54327147367293e+001dB,1.41757520868715e+002°)
9.99999999999994e+006	(1.10040206485339e+001dB,-3.79890854365912e+001°)	(3.60246165792579e+001dB,-7.94667031955304e+001°)	(2.50205959307241e+001dB,1.38522382241061e+002°)
1.12201845430196e+007	(1.05063075958763e+001dB,-3.59655793793888e+001°)	(3.50581900282251e+001dB,-8.07219001292962e+001°)	(2.45518824323488e+001dB,1.35243679250093e+002°)
1.25892541179416e+007	(1.00593782489136e+001dB,-3.38289363121540e+001°)	(3.40851474387812e+001dB,-8.18644384290043e+001°)	(2.40257691898676e+001dB,1.31964497883150e+002°)
1.41253754462275e+007	(9.66385789376235e+000dB,-3.16345980766172e+001°)	(3.31068103136190e+001dB,-8.29065388540432e+001°)	(2.34429524198566e+001dB,1.28728059222574e+002°)
1.58489319246110e+007	(9.31869912024367e+000dB,-2.94348891082040e+001°)	(3.21242590309216e+001dB,-8.38599249744830e+001°)	(2.28055599106779e+001dB,1.25574964133721e+002°)
1.77827941003891e+007	(9.02143259570517e+000dB,-2.72765915485070e+001°)	(3.11383757407673e+001dB,-8.47357550511262e+001°)	(2.21169431450621e+001dB,1.22540836497381e+002°)
1.99526231496887e+007	(8.76850873710660e+000dB,-2.51992817971489e+001°)	(3.01498817842478e+001dB,-8.55446074074764e+001°)	(2.13813730471412e+001dB,1.19654674389672e+002°)
2.23872113856833e+007	(8.55567528357243e+000dB,-2.32345471690364e+001°)	(2.91593698468061e+001dB,-8.62965048372366e+001°)	(2.06036945632337e+001dB,1.16938042331800e+002°)
2.51188643150956e+007	(8.37833846112222e+000dB,-2.14060265511917e+001°)	(2.81673313480625e+001dB,-8.70009674820281e+001°)	(1.97889928869402e+001dB,1.14405059069164e+002°)
2.81838293126443e+007	(8.23186958815138e+000dB,-1.97300946341889e+001°)	(2.71741797024570e+001dB,-8.76670869682739e+001°)	(1.89423101143056e+001dB,1.12063007665915e+002°)
3.16227766016836e+007	(8.11183753255332e+000dB,-1.82169567802701e+001°)	(2.61802700971821e+001dB,-8.83036174195897e+001°)	(1.80684325646288e+001dB,1.09913339360681e+002°)
3.54813389233573e+007	(8.01416418655031e+000dB,-1.68719321733675e+001°)	(2.51859163826661e+001dB,-8.89190813897659e+001°)	(1.71717521961158e+001dB,1.07952850783602e+002°)
3.98107170553494e+007	(7.93521163054871e+000dB,-1.56967518644713e+001°)	(2.41914055518807e+001dB,-8.95218908534005e+001°)	(1.62561939213320e+001dB,1.06174861011071e+002°)
4.46683592150960e+007	(7.87181532372231e+000dB,-1.46907597594893e+001°)	(2.31970101118198e+001dB,-9.01204853529545e+001°)	(1.53251947880974e+001dB,1.04570274406535e+002°)
5.01187233627269e+007	(7.82127870443490e+000dB,-1.38519610535510e+001°)	(2.22029984134162e+001dB,-9.07234912547290e+001°)	(1.43817197089813e+001dB,1.03128469798822e+002°)
5.62341325190345e+007	(7.78134268845357e+000dB,-1.31779051639587e+001°)	(2.12096426407752e+001dB,-9.13399078631783e+001°)	(1.34282999523217e+001dB,1.01837997300780e+002°)
6.30957344480189e+007	(7.75014032487528e+000dB,-1.26664180883331e+001°)	(2.02172236656349e+001dB,-9.19793277491199e+001°)	(1.24670833407596e+001dB,1.00687090339213e+002°)
7.07945784384133e+007	(7.72614323102137e+000dB,-1.23162139768859e+001°)	(1.92260312338535e+001dB,-9.26521997294378e+001°)	(1.14998880028321e+001dB,9.96640142474481e+001°)
7.94328234724275e+007	(7.70810293295461e+000dB,-1.21274212066888e+001°)	(1.82363569315915e+001dB,-9.33701427479316e+001°)	(1.05282539986368e+001dB,9.87572784587572e+001°)
8.91250938133739e+007	(7.69498699846556e+000dB,-1.21020563867992e+001°)	(1.72484760156648e+001dB,-9.41463162143954e+001°)	(9.55348901719928e+000dB,9.79557401724037e+001°)
9.99999999999992e+007	(7.68590688736529e+000dB,-1.22444715760315e+001°)	(1.62626125343415e+001dB,-9.49958451747251e+001°)	(8.57670564697624e+000dB,9.72486264013064e+001°)
1.12201845430195e+008	(7.68003178800245e+000dB,-1.25617847351298e+001°)	(1.52788804041247e+001dB,-9.59362843667176e+001°)	(7.59884861612222e+000dB,9.66255003684122e+001°)
1.25892541179416e+008	(7.67648068818723e+000dB,-1.30642792711497e+001°)	(1.42971917962840e+001dB,-9.69880810290217e+001°)	(6.62071110809673e+000dB,9.60761982421280e+001°)
1.41253754462274e+008	(7.67418423735566e+000dB,-1.37657240632884e+001°)	(1.33171242615223e+001dB,-9.81749606477083e+001°)	(5.64294002416664e+000dB,9.55907634155802e+001°)
1.58489319246110e+008	(7.67170977677346e+000dB,-1.46835217994104e+001°)	(1.23377409074788e+001dB,-9.95241146689910e+001°)	(4.66603113070532e+000dB,9.51594071304194e+001°)
1.77827941003891e+008	(7.66704863707049e+000dB,-1.58385476748815e+001°)	(1.13573652109162e+001dB,-1.01066023203324e+002°)	(3.69031657384571e+000dB,9.47725244715578e+001°)
1.99526231496886e+008	(7.65737549222947e+000dB,-1.72545072048729e+001°)	(1.03733247616497e+001dB,-1.02833716726383e+002°)	(2.71594926942027e+000dB,9.44207904784897e+001°)
2.23872113856832e+008	(7.63880493694043e+000dB,-1.89566435500475e+001°)	(9.38169574621356e+000dB,-1.04861294766535e+002°)	(1.74289080927313e+000dB,9.40953487835124e+001°)
2.51188643150956e+008	(7.60618787537559e+000dB,-2.09696862898645e+001°)	(8.37709875698703e+000dB,-1.07181603598445e+002°)	(7.70910881611442e-001dB,9.37880826914194e+001°)
2.81838293126443e+008	(7.55300409475696e+000dB,-2.33150706159849e+001°)	(7.35260963724086e+000dB,-1.09823141963984e+002°)	(-2.00394457516099e-001dB,9.34919286520014e+001°)
3.16227766016835e+008	(7.47140967981777e+000dB,-2.60076584046587e+001°)	(6.29984774876216e+000dB,-1.12806494197314e+002°)	(-1.17156193105561e+000dB,9.32011642073450e+001°)
3.54813389233572e+008	(7.35248166043031e+000dB,-2.90524125439052e+001°)	(5.20928155787195e+000dB,-1.16140821342137e+002°)	(-2.14320010255836e+000dB,9.29115912017678e+001°)
3.98107170553494e+008	(7.18666573679661e+000dB,-3.24416311964045e+001°)	(4.07074810741658e+000dB,-1.19821079942322e+002°)	(-3.11591762938002e+000dB,9.26205512540824e+001°)
4.46683592150959e+008	(6.96438348265018e+000dB,-3.61533537767464e+001°)	(2.87412919782528e+000dB,-1.23826600940222e+002°)	(-4.09025428482490e+000dB,9.23267528365245e+001°)
5.01187233627268e+008	(6.67670890154697e+000dB,-4.01513622356971e+001°)	(1.61008096259261e+000dB,-1.28121420755203e+002°)	(-5.06662793895436e+000dB,9.20299414804942e+001°)
5.62341325190344e+008	(6.31599876150970e+000dB,-4.43868540073940e+001°)	(2.70693011486897e-001dB,-1.32656369786979e+002°)	(-6.04530575002281e+000dB,9.17304842204150e+001°)
6.30957344480188e+008	(5.87636846081736e+000dB,-4.88014632661765e+001°)	(-1.15003227747155e+000dB,-1.37372511969038e+002°)	(-7.02640073828890e+000dB,9.14289512971388e+001°)
7.07945784384132e+008	(5.35394483285085e+000dB,-5.33309897867415e+001°)	(-2.65594394039916e+000dB,-1.42205227385429e+002°)	(-8.00988877325000e+000dB,9.11257624013124e+001°)
7.94328234724274e+008	(4.74688689753984e+000dB,-5.79090656448547e+001°)	(-4.24875089665258e+000dB,-1.47088132071196e+002°)	(-8.99563779419242e+000dB,9.08209335736587e+001°)
8.91250938133737e+008	(4.05522639777194e+000dB,-6.24700895121008e+001°)	(-5.92821461142183e+000dB,-1.51956160078952e+002°)	(-9.98344100919377e+000dB,9.05139294331490e+001°)
9.99999999999991e+008	(3.28062363999146e+000dB,-6.69510551856161e+001°)	(-7.69242416250261e+000dB,-1.56747451573049e+002°)	(-1.09730478024941e+001dB,9.02036036125674e+001°)
1.12201845430195e+009	(2.42614758018818e+000dB,-7.12923102234635e+001°)	(-9.53804115011156e+000dB,-1.61404109463494e+002°)	(-1.19641887302997e+001dB,8.98882007599691e+001°)
1.25892541179416e+009	(1.49616665411937e+000dB,-7.54376870524017e+001°)	(-1.14604266293668e+001dB,-1.65872293501216e+002°)	(-1.29565932834861e+001dB,8.95653935511856e+001°)
1.41253754462274e+009	(4.96381292971006e-001dB,-7.93347256772202e+001°)	(-1.34536193142779e+001dB,-1.70102392324476e+002°)	(-1.39500006072489e+001dB,8.92323333527439e+001°)
1.58489319246110e+009	(-5.66046819200040e-001dB,-8.29357333649965e+001°)	(-1.55102109286360e+001dB,-1.74050033682100e+002°)	(-1.49441641094359e+001dB,8.88856996828965e+001°)
1.77827941003891e+009	(-1.68238511542478e+000dB,-8.62001260560044e+001°)	(-1.76212362138808e+001dB,-1.77678386874844e+002°)	(-1.59388510984560e+001dB,8.85217391811604e+001°)
1.99526231496886e+009	(-2.84238968810222e+000dB,-8.90979070524521e+001°)	(-1.97762282274049e+001dB,1.79038381706570e+002°)	(-1.69338385393027e+001dB,8.81362887590215e+001°)
2.23872113856832e+009	(-4.03465048706665e+000dB,-9.16134701885832e+001°)	(-2.19635563797181e+001dB,1.76111310130779e+002°)	(-1.79289058926515e+001dB,8.77247803193626e+001°)
2.51188643150955e+009	(-5.24723998886927e+000dB,-9.37485006543318e+001°)	(-2.41710658619972e+001dB,1.73533726001703e+002°)	(-1.89238258731279e+001dB,8.72822266560344e+001°)
